"Title","Description","Started","Submitted","Conv","PrimaryText1","PrimaryText2","PrimaryText3","Headline1","Headline2","Headline3","ThankYouEmail","ImgHeadline1","ImgHeadline2","ImgHeadline3","ImageConcept"
"Retrocaster","Sharpen your prediction skills by finding the hidden trends in charts about global problems.","137","89","65.0","Hidden inside charts about the world are trends most people miss. This tool trains you to spot them. 📈 Take a look.","Sharpen your forecasting instincts by learning to read the real direction behind global data. Take the free challenge.","Can you see where global trends are really heading? This free tool tests how well you read the charts. Find out.","Sharpen Your Prediction Skills","Find The Hidden Trends","Can You Read The Charts?","Thank you — we hope you found your Retrocaster report valuable.

Sharpening your forecasting is a powerful skill, and its real payoff is in the choices you make — judging risks, weighing options, and planning ahead with a clearer view of what's likely.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you turn better judgment into faster progress on your goals.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Predict The Past","Sharpen Your Forecasts","Test Your Foresight","A single clean dart frozen mid-air just before hitting a minimalist target, captured against a bright seamless backdrop; the suspended moment of almost-landing pulls the eye and signals skill and precision."
"The Ultimate Personality Test","Find out which of our 16 personality types you match best. Also, get a personalized report with your Jungian (inspired by MBTI/Myers-Briggs), Enneagram, and Big Five traits—all in one test!","1485","939","63.2","One test, three frameworks: Jungian, Enneagram and Big Five - plus your best-fit type out of 16. 🧩 Discover yours.","Get a complete personality report combining MBTI-style, Enneagram and Big Five insights in a single read. Take the free test.","Why take three personality tests when one covers Jungian, Enneagram AND Big Five? Find your type free. Take a look.","3 Frameworks, 1 Free Test","Your Complete Personality Type","Which Of 16 Types Are You?","Thank you — we hope you found your personality profile valuable.

A rich picture of your type, traits, and tendencies is a great map — but a map only helps when you use it to navigate the real choices and changes in front of you.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan around your strengths to help you make faster progress.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Who Are You Really","Your 16 Types","Decode Yourself","Sixteen small distinct geometric shapes arranged in a neat grid on a soft gradient background, each a different muted color, with one gently spotlit; clean and systematic, it promises a precise read on who you are."
"Understanding Your Morality","Discover your unique moral compass through an interactive tool that analyzes your ethical decision-making across 15 different frameworks.","5693","3566","62.6","Your sense of right and wrong is more distinctive than you think. This tool maps it across 15 frameworks. ⚖️ Discover it.","See your moral compass clearly - how you decide what's right, mapped across 15 ethical frameworks. Take the free test.","What really drives your ethical choices? This interactive tool analyzes them across 15 frameworks. Find out.","Map Your Moral Compass","Your Ethics Across 15 Lenses","What Drives Your Right And Wrong?","Thank you — we hope you found your morality report valuable.

Seeing your moral compass across different ethical frameworks can clarify what you truly care about — and sometimes reveal a gap between your values and how you're actually living.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you live and decide in line with what matters most to you.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Your Moral Compass","What's Right To You","15 Moral Lenses","A polished compass resting on an open blank page, its needle pointing toward soft warm light off-frame; understated and thoughtful, the moral-compass metaphor lands without being preachy."
"The Imposter Syndrome Test","Learn about imposter syndrome, take the assessment to find out more about your own experiences, and discover strategies to combat imposter feelings.","1310","811","61.9","That feeling of not being 'good enough' has a name and a science. This free assessment explores it. 💭 Take a look.","Understand your own experiences with imposter feelings and get practical strategies to push back. Take the free test.","A science-based imposter syndrome assessment - plus real strategies to quiet the self-doubt. Find out more.","A Science-Based Imposter Test","Understand The Imposter Feeling","Ever Feel Like A Fraud At Work?","Thank you — we hope you found your Imposter Syndrome report valuable.

Recognizing those imposter feelings is a real step forward, but quieting the inner voice that says you're not good enough — especially in high-stakes moments — usually takes more than insight alone.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you trust your worth and move forward with more confidence.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","The Confidence Gap","Do You Feel Faker","Quiet The Doubt","A single empty office chair facing a large bright window with soft morning light, shot clean and minimal with lots of negative space; the calm, slightly vulnerable emptiness invites quiet self-reflection."
"Improve Your Frequency Predictions","Test your ability to estimate the frequency of events and compare your scores to other users with this quick quiz.","147","91","61.9","How good are you at guessing how often things really happen? This quick quiz puts it to the test. 📊 Find out.","Sharpen your estimation skills and see how your accuracy compares to other users. Take the free quiz.","Most people badly misjudge how common events are. This quick quiz scores you against others. Take a look.","Test Your Estimation Skills","How Good Is Your Guessing?","Can You Estimate How Often?","Thank you — we hope you found your Frequency Predictions report valuable.

Getting better at estimating how often things really happen sharpens your judgment — and that shows up everywhere, from everyday risks to big decisions where being well-calibrated truly pays off.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you turn clearer thinking into faster progress on your goals.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","How Often Really","Guess The Odds","Sharpen Your Estimates","A clean abstract array of small dots on a white field, most muted grey with a precise scatter of bright ones, arranged like a probability grid; minimalist and brainy, it visualizes estimating how often things happen."
"Can You Detect Weak Arguments?","Find out how well you can spot misleading rhetoric and recognize your own bias using real-world examples.","893","544","60.9","Ever read something convincing, then realized it was hollow? 🤔 This quiz tests how you handle real-world rhetoric. Take the free test.","Sharpen your eye for misleading rhetoric and learn to catch bias in real-world examples. Start the free test.","Most people overrate their ability to spot weak arguments. Where do you land with real examples? Find out free.","Spot Misleading Rhetoric Faster","The Weak-Argument Detector","Can You Catch a Weak Argument?","Thank you — we hope you found your Can You Detect Weak Arguments? report valuable.

Spotting weak rhetoric and your own blind spots is one thing; consistently acting on clearer judgment in your real decisions is another. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress on the goals that matter to you.

If you'd like a thinking partner in your corner, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Spot The Spin","Could You Be Fooled?","Test Your BS Detector","A clean split-screen of two nearly identical speech bubbles on a deep navy background, one subtly cracked like glass, inviting the eye to find the flaw; minimalist editorial style that signals a hidden catch."
"Value Of Your Time Calculator","Get a custom report that will help you make decisions based on the value of your time, like whether to take on extra part-time work or hire your own help.","7384","4437","60.1","What is an hour actually worth to you? ⏳ Get a custom report and decide smarter. Try the free calculator.","Make clearer calls on extra work or hiring help, with a custom report built around the value of your time. Start free.","Should you take that side gig, or hire help instead? Run the numbers with a free custom report. Find out.","Know What Your Time Is Worth","Your Hour Has a Number","Side Gig, or Hire Help?","Thank you — we hope you found your Value Of Your Time Calculator report valuable.

Knowing what your time is worth is the easy part; actually protecting it from procrastination, overcommitment, and low-value habits is harder. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress on what matters most.

If you'd like help spending your time on what counts, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Your Hour Has A Price","What's An Hour Worth?","Calculate Your Time","A single elegant hourglass where the falling sand is made of tiny gold coins against a warm muted background; the visual metaphor of time literally turning into money stops the scroll instantly."
"The Entrepreneur Test","Take our test to get a customized report on your strengths and weaknesses as a potential startup founder. Learn if you have the traits and skills you need to succeed!","1050","622","59.2","Curious how you'd hold up as a startup founder? 🚀 Get a customized report on your strengths and weaknesses. Take the free test.","See where your founder strengths shine and which skills to build, in one customized report. Start the free test.","What separates founders who last from those who don't? Get your customized strengths report. Find out free.","Map Your Founder Strengths","Are You Built to Build?","Could You Run a Startup?","Thank you — we hope you found your The Entrepreneur Test report valuable.

Understanding your strengths and weaknesses as a founder is a great start; turning that insight into real momentum — through the stress, setbacks, and big decisions — is where many people get stuck. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress toward your goals.

If you'd like support building on your strengths, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Built To Found?","Do You Have It?","Test Your Founder Edge","A bold overhead shot of a single chess knight standing apart from a row of pawns on a stark two-tone board; modern, confident, hinting at the question of who is wired to lead."
"The Common Misconceptions Test","Separate fact from B.S. in this fun quiz that asks you to identify the misconceptions among 30 common beliefs.","1176","692","58.8","Some ""facts"" everyone repeats are just myths. 🧐 Can you spot them among 30 common beliefs? Take the free quiz.","Walk away knowing which widely held beliefs are actually false, in one fun 30-question quiz. Try it free.","30 common beliefs, some true, some B.S. How many can you call correctly? Find out with the free quiz.","Tell Fact From Fiction","30 Beliefs, How Many Myths?","Which ""Facts"" Are Actually False?","Thank you — we hope you found your The Common Misconceptions Test report valuable.

Separating fact from widely-believed myths is a real skill — and the same clear-eyed thinking can help you see your own life and choices more accurately. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress on the goals that matter to you.

If you'd like a thinking partner for the bigger questions, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Most People Are Wrong","Fact Or Myth?","Test What You Know","A crisp typographic visual of a familiar 'fact' stamped with a faint red question mark watermark over it, set in clean serif on cream; the tension between certainty and doubt draws the eye."
"The Ultimate Personality Test (high-traffic)","Find out which of our 16 personality types you match best — Jungian, Enneagram, and Big Five traits in one test.","317945","173826","54.7","Which of 16 personality types fits you best? ✨ Jungian, Enneagram, and Big Five in one test. Find out free.","Get a richer read on yourself with Jungian, Enneagram, and Big Five traits combined into one result. Take the free test.","Why take three personality tests when one covers all of them? Discover your type. Take the free test.","3 Frameworks, 1 Personality Type","Find Your 1 of 16 Types","Which Personality Type Are You?","Thank you — we hope you found your The Ultimate Personality Test report valuable.

Seeing your personality profile can be eye-opening, but the real payoff comes from using that self-understanding to change how you actually live and work. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress toward your goals.

If you'd like to turn insight into action, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Which Type Are You?","16 Types One You","Test Your Personality","A grid of 16 minimalist abstract symbols in soft gradient colors with a single tile glowing brighter than the rest; the modern mosaic invites you to find your square."
"How Rational Are You, Really?","Learn which of 16 reasoning styles you use, your overall level of rationality, and what you can do now to improve your rationality skills.","66275","32817","49.5","Which of 16 reasoning styles do you lean on? 🧠 See your rationality profile and how to sharpen it. Take the free test.","Learn your reasoning style and get clear, doable steps to strengthen your rationality skills. Start the free test.","Smart people still reason in predictable ways. Which of the 16 styles is yours? Find out free.","See Your Reasoning Style","16 Ways of Thinking, Yours?","How Rational Are You, Really?","Thank you — we hope you found your How Rational Are You, Really? report valuable.

Learning about your reasoning styles is a strong first step; strengthening them and applying them under real pressure is where lasting change happens. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress on the goals that matter to you.

If you'd like help thinking and deciding more clearly, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Smarter Than Your Gut?","How Rational Are You?","Test Your Logic","A profile silhouette split down the middle, one half rendered as a calm geometric circuit, the other a swirl of warm emotion; a thoughtful, modern visualization of head versus instinct."
"The Intrinsic Values Test","Find out what you value most in the world, and compare those values to others', with this fun, comprehensive quiz.","7373","3623","49.1","What do you actually value most? 🌱 This comprehensive quiz shows you, and how you compare to others. Find out free.","Get clarity on your deepest values and see how they stack up against other people's. Take the free quiz.","Most people have never put their core values in order. Could you? Compare yours to others. Find out free.","Discover What You Value Most","Your Values, Ranked","What Do You Truly Value?","Thank you — we hope you found your The Intrinsic Values Test report valuable.

Knowing what you value most is powerful, but the gap between those values and how you spend your days is where many of us feel stuck. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you live and make progress in line with what matters most to you.

If you'd like help closing that gap, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","What Drives You Most?","Know What You Value","Find Your Core Values","A simple set of weighing scales balancing small iconic objects (a heart, a clock, a key) on a serene pastel backdrop; quiet and contemplative, it asks what truly tips your scale."
"Predict Correlations","How well do you understand human psychology? See if you can predict how much agreeing with one statement is associated with agreeing with another statement.","4304","2006","46.6","Think you read people well? 🤔 See if you can predict how psychology traits connect. Take the free test.","Sharpen your intuition for human psychology by testing how well you predict real-world correlations. Start free.","Psychology findings often surprise even experts. Can you predict the links? Find out with the free test.","Test Your Psychology Intuition","Can You Predict the Link?","How Well Do You Read People?","Thank you — we hope you found your Predict Correlations report valuable.

Getting better at reading human psychology sharpens how you understand others — and yourself. Turning that self-understanding into real change in your own habits and choices is where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress toward your goals.

If you'd like a thinking partner in your corner, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Guess What Connects","Can You Predict People?","Test Your Intuition","Two abstract dot-cloud scatter plots side by side on dark canvas, one forming a faint hidden pattern; the data-art look feels intelligent and challenges you to see the link."
"Charity Effectiveness","See if you can guess which social interventions had a positive effect, a negative effect, or no effect, based on a short description.","3401","1579","46.4","Do good intentions equal good results? 🤔 Guess which social programs actually worked. Take the free quiz.","Build a sharper sense for what real-world social interventions accomplish, positive, negative, or none. Try it free.","Some well-funded programs do nothing, or harm. Can you tell which worked? Find out with the free quiz.","Guess What Actually Worked","Good Intentions, Real Results?","Which Programs Actually Helped?","Thank you — we hope you found your Charity Effectiveness report valuable.

Figuring out which interventions actually work takes clear, evidence-based thinking — the same kind that helps you make real progress in your own life. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan to help you make faster progress on the goals that matter to you.

If you'd like support putting good thinking into action, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Which Giving Works?","Does Your Donation Help?","Test Your Impact IQ","A clean infographic-style visual of two coins dropping into slots above wildly different-sized impact bars; bright and purposeful, it dramatizes that not all giving is equal."
"Resolve Harmful Situations","Facing a challenging or harmful situation? This tool will help you think through your options, using a simple decision-making framework.","69","32","46.4","Stuck on a tough situation? 🧭 Walk through your options with a simple decision framework. Try the free tool.","Get more clarity on a challenging situation by working through your options step by step. Start the free tool.","When a situation feels overwhelming, where do you even begin? A simple framework can help. Find out free.","Think Through Tough Choices","A Framework for Hard Moments","Facing a Difficult Situation?","Thank you — we hope you found your Resolve Harmful Situations report valuable.

Thinking through your options in a hard situation is important, but following through under stress — and protecting your wellbeing along the way — is rarely easy on your own. That's where coaching can help.

Clearer Thinking Plus pairs you with an evidence-based coach (CBT, ACT, and Motivational Interviewing) for one-on-one 45-minute video sessions and a personalized plan, including support with stress and difficult life transitions.

If you'd like someone in your corner, you can learn more here:
https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Think It Through","Stuck In A Bind?","Find Your Way Out","A single tangled knot of rope on a calm neutral background with one strand glowing as the loosening thread; understated and reassuring, it promises a way through complexity."
